DeviceTag: Xsens_IX,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-07-17 10:50:31.863,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
703678,0.8619,0.1456,-0.3334,0.3532,-0.0097,0.0095,0.0870,0
703845,0.8619,0.1456,-0.3334,0.3532,-0.0172,0.0068,0.0852,0
704012,0.8619,0.1455,-0.3334,0.3532,-0.0028,0.0042,0.1025,0
704178,0.8619,0.1456,-0.3334,0.3532,-0.0190,-0.0198,0.1070,0
704345,0.8619,0.1455,-0.3334,0.3532,0.0027,0.0129,0.0850,0
704512,0.8619,0.1455,-0.3334,0.3532,-0.0112,0.0017,0.0824,0
704678,0.8620,0.1455,-0.3334,0.3532,-0.0054,-0.0023,0.1097,0
704845,0.8619,0.1455,-0.3334,0.3532,-0.0018,0.0121,0.0763,0
705012,0.8620,0.1455,-0.3334,0.3532,-0.0087,-0.0017,0.0912,0
705178,0.8620,0.1455,-0.3334,0.3532,-0.0198,0.0010,0.1048,0
705345,0.8620,0.1455,-0.3334,0.3531,0.0070,0.0096,0.0699,0
705512,0.8620,0.1455,-0.3334,0.3531,-0.0026,0.0234,0.0942,0
705678,0.8620,0.1455,-0.3334,0.3531,-0.0164,0.0084,0.1026,0
705845,0.8620,0.1455,-0.3334,0.3531,-0.0006,0.0115,0.0768,0
706012,0.8620,0.1455,-0.3334,0.3531,-0.0013,-0.0104,0.0950,0
706178,0.8620,0.1455,-0.3334,0.3531,-0.0006,0.0107,0.0772,0
706345,0.8620,0.1455,-0.3334,0.3531,-0.0009,0.0084,0.1036,0
706512,0.8620,0.1455,-0.3334,0.3531,-0.0124,0.0083,0.0989,0
706678,0.8620,0.1455,-0.3334,0.3531,0.0054,0.0064,0.0795,0
706845,0.8620,0.1455,-0.3334,0.3531,-0.0001,0.0147,0.0865,0
707012,0.8620,0.1455,-0.3334,0.3530,-0.0185,0.0120,0.0879,0
707178,0.8620,0.1455,-0.3334,0.3530,-0.0073,0.0012,0.0824,0
707345,0.8620,0.1455,-0.3334,0.3530,-0.0082,0.0160,0.0759,0
707512,0.8620,0.1455,-0.3334,0.3530,-0.0206,-0.0053,0.0841,0
